,state,x,y
0,iceland,-306,215
1,norway,-99,76
2,sweden,-20,163
3,finland,57,111
4,russia,221,30
5,estonia,75,36
6,latvia,77,3
7,lithuania,52,-25
8,belarus,80,-61
9,ukraine,90,-112
10,moldova,101,-158
11,romania,51,-177
12,bulgaria,64,-223
13,turkiye,148,-264
14,greece,31,-263
15,north macedonia,28,-240
16,albania,12,-249
17,hungary,5,-157
18,serbia,19,-196
19,bosnia,-17,-194
20,croatia,-36,-186
21,italy,-70,-217
22,corsica,-100,-231
23,sardinia,-101,-252
24,spain,-245,-254
25,portugal,-284,-268
26,france,-183,-168
27,united kingdom,-222,-68
28,ireland,-291,-65
29,belgium,-147,-106
30,netherlands,-135,-80
31,germany,-96,-94
32,poland,-8,-73
33,denmark,-104,-11
34,czech republic,-41,-116
35,slovakia,5,-134
36,austria,-48,-149
37,switzerland,-52,-117
38,liechtenstein,-39,-119
39,luxembourg,-64,-77
40,monaco,-62,-145
41,san marino,-30,-172
42,vatican city,-34,-186
43,andorra,-103,-168
44,malta,0,-253
45,slovenia,-25,-138
46,montenegro,4,-173
47,kosovo,14,-158
48,georgia,200,-53
49,armenia,194,-73
50,azerbaijan,215,-73
